SA, 3924767332, 51, 1681058287.7480216
SA, 4025050162, 52, 1681058287.90389
SA, 1693397737, 53, 1681058288.0523047
SA, 3915706418, 54, 1681058288.2118647
SA, 3912429668, 55, 1681058288.3646839
SA, 3924832868, 56, 1681058288.5248206
SA, 3924845618, 57, 1681058288.6838171
SA, 4029834473, 58, 1681058288.8399682
SA, 4041814628, 59, 1681058288.99618
SA, 4058591844, 60, 1681058289.1485074
SA, 854714724, 51, 1681058289.3119447
SA, 854680809, 52, 1681058289.4676652
SA, 4049875689, 53, 1681058289.619982
SA, 3924898404, 54, 1681058289.7798724
SA, 854192484, 55, 1681058289.932053
SA, 1681060585, 56, 1681058290.0837774
SA, 845476585, 57, 1681058290.2399316
SA, 3924976690, 58, 1681058290.391545
SA, 854780260, 59, 1681058290.5439458
SA, 3915706930, 60, 1681058290.7042089
SA, 4066699570, 51, 1681058290.8560174
SA, 4066699570, 52, 1681058291.007699
SA, 1693706546, 53, 1681058291.159972
SA, 4083430121, 54, 1681058291.3197389
SA, 4080200036, 55, 1681058291.4719708
SA, 1693706546, 56, 1681058291.6279676
SA, 1693706546, 57, 1681058291.7796125
SA, 3912393971, 58, 1681058291.9317966
SA, 4108923492, 59, 1681058292.0841575
SA, 4108936242, 60, 1681058292.2405362
SA, 854911332, 51, 1681058292.3920825
SA, 1693054002, 52, 1681058292.5358605
SA, 3925107762, 53, 1681058292.6875865
SA, 1693725417, 54, 1681058292.847846
SA, 854911332, 55, 1681058293.0000837
SA, 845474293, 56, 1681058293.187966
SA, 3912430948, 57, 1681058293.3436725
SA, 1693054258, 58, 1681058293.4960945
SA, 1693790953, 59, 1681058293.647586
SA, 1693004533, 60, 1681058293.8037162
SA, 3912393973, 51, 1681058293.9559143
SA, 4130497769, 52, 1681058294.1081898
SA, 854193764, 53, 1681058294.2597954
SA, 4130497769, 54, 1681058294.4078543
SA, 845474294, 55, 1681058294.560643
SA, 3912431204, 56, 1681058294.7279203
SA, 4142490674, 57, 1681058294.8757825
SA, 1693856489, 58, 1681058295.0282013
SA, 4150585650, 59, 1681058295.175968
SA, 1693054770, 60, 1681058295.328709
SA, 1693004535, 51, 1681058295.4879522
SA, 1681061865, 52, 1681058295.635814
SA, 4147308900, 53, 1681058295.789412
SA, 1693004535, 54, 1681058295.9477224
SA, 845478121, 55, 1681058296.0959148
SA, 1694034226, 56, 1681058296.252239
SA, 845474296, 57, 1681058296.4075797
SA, 3912393976, 58, 1681058296.5555453
SA, 1681058296, 59, 1681058296.7077363
SA, 1681058296, 60, 1681058296.859808
SA, 855173476, 51, 1681058297.020605
SA, 1694099762, 52, 1681058297.195734
SA, 3915708722, 53, 1681058297.3435311
SA, 854194532, 54, 1681058297.5077426
SA, 3915708722, 55, 1681058297.6718357
SA, 4180829417, 56, 1681058297.8276289
SA, 4184140082, 57, 1681058297.97994
SA, 1693055538, 58, 1681058298.1393979
SA, 1681058298, 59, 1681058298.2959363
SA, 4197640548, 60, 1681058298.4560223
SA, 4197606633, 51, 1681058298.607858
SA, 1681062633, 52, 1681058298.7598267
SA, 845474298, 53, 1681058298.9118712
SA, 4197640548, 54, 1681058299.063932
SA, 3915709234, 55, 1681058299.219657
SA, 855370084, 56, 1681058299.3726237
SA, 4226376754, 57, 1681058299.5317645
SA, 1694184169, 58, 1681058299.687867
SA, 1694184169, 59, 1681058299.8399723
SA, 3915709234, 60, 1681058299.9960384
SA, 854156540, 51, 1681058300.1441853
SA, 1693004540, 52, 1681058300.2957342
SA, 1694296370, 53, 1681058300.4521325
SA, 854156540, 54, 1681058300.599722
SA, 3912393980, 55, 1681058300.7523267
SA, 1681063145, 56, 1681058300.9040143
SA, 854195300, 57, 1681058301.0597138
SA, 3925697586, 58, 1681058301.2116466
SA, 3925697586, 59, 1681058301.3700268
SA, 1694315241, 60, 1681058301.5277402
SA, 1694361906, 51, 1681058301.6841035
SA, 855467241, 52, 1681058301.836059
SA, 3915709746, 53, 1681058301.9959495
SA, 4267979497, 54, 1681058302.1477437
SA, 4276695652, 55, 1681058302.3036864
SA, 3925750372, 56, 1681058302.4600952
SA, 4276695652, 57, 1681058302.6118903
SA, 4267979497, 58, 1681058302.7635162
SA, 3915710002, 59, 1681058302.911699
SA, 1681063657, 60, 1681058303.064068
