SA, 1692218092, 1, 1681059037.7473423
SA, 3723256882, 2, 1681059037.9001827
SA, 3973932082, 3, 1681059038.0601566
SA, 1693244978, 4, 1681059038.2161596
SA, 3727844588, 5, 1681059038.3682497
SA, 853470308, 6, 1681059038.5239937
SA, 845471468, 7, 1681059038.679927
SA, 1692283628, 8, 1681059038.8325257
SA, 854384228, 9, 1681059038.9922752
SA, 3756811314, 10, 1681059039.1519065
SA, 854353119, 11, 1681059039.3081286
SA, 3744621804, 12, 1681059039.4608798
SA, 854353119, 13, 1681059039.6171038
SA, 3747933234, 14, 1681059039.7719834
SA, 3974063154, 15, 1681059039.9249709
SA, 845475040, 16, 1681059040.08388
SA, 1681059040, 17, 1681059040.2452204
SA, 854384740, 18, 1681059040.4041705
SA, 1692414700, 19, 1681059040.5564249
SA, 3773588530, 20, 1681059040.7040868
SA, 3773588530, 21, 1681059040.8566806
SA, 3974115940, 22, 1681059041.0042696
SA, 3790352996, 23, 1681059041.1599357
SA, 3781487666, 24, 1681059041.3119452
SA, 1692480236, 25, 1681059041.463925
SA, 853666916, 26, 1681059041.6201575
SA, 3974181476, 27, 1681059041.768347
SA, 3781487666, 28, 1681059041.9280431
SA, 3965989602, 29, 1681059042.080012
SA, 3965989602, 30, 1681059042.2403326
SA, 1692593202, 31, 1681059042.3918016
SA, 853697772, 32, 1681059042.5399826
SA, 3798264882, 33, 1681059042.7000864
SA, 845475042, 34, 1681059042.8518488
SA, 1692545772, 35, 1681059043.003917
SA, 3966034738, 36, 1681059043.1560414
SA, 1681059043, 37, 1681059043.3080745
SA, 854385508, 38, 1681059043.4609025
SA, 3815042098, 39, 1681059043.617131
SA, 3962757988, 40, 1681059043.7724063
SA, 1692658738, 41, 1681059043.927971
SA, 3965989604, 42, 1681059044.0805023
SA, 3965989604, 43, 1681059044.232282
SA, 3840684644, 44, 1681059044.3843496
SA, 1681057004, 45, 1681059044.5366445
SA, 3974390834, 46, 1681059044.700086
SA, 3962758244, 47, 1681059044.8523488
SA, 3831771884, 48, 1681059045.0044885
SA, 1692742380, 49, 1681059045.1760955
SA, 845475045, 50, 1681059045.3441892
SA, 1692789810, 51, 1681059045.496353
SA, 3857474610, 52, 1681059045.6520967
SA, 3845285100, 53, 1681059045.8041847
SA, 3974456370, 54, 1681059045.9557977
SA, 3962725606, 55, 1681059046.1081169
SA, 845473516, 56, 1681059046.2598798
SA, 3966035506, 57, 1681059046.4162314
SA, 1693247026, 58, 1681059046.568397
SA, 3862062316, 59, 1681059046.7201295
SA, 845473516, 60, 1681059046.8719046
SA, 3966035506, 61, 1681059047.0322185
SA, 3962759012, 62, 1681059047.184738
SA, 3962759012, 63, 1681059047.3484714
SA, 845473772, 64, 1681059047.5078094
SA, 3882103532, 65, 1681059047.6680045
SA, 1681059047, 66, 1681059047.8163862
SA, 3882103532, 67, 1681059047.9637527
SA, 1681058028, 68, 1681059048.116729
SA, 3962759268, 69, 1681059048.2764268
SA, 1681058028, 70, 1681059048.431939
SA, 3974652978, 71, 1681059048.5841203
SA, 845474028, 72, 1681059048.7365007
SA, 3895651428, 73, 1681059048.8957877
SA, 1692986418, 74, 1681059049.04817
SA, 3924570724, 75, 1681059049.2081232
SA, 1693201129, 76, 1681059049.3598928
SA, 3962725609, 77, 1681059049.5124924
SA, 3965989609, 78, 1681059049.6638749
SA, 3962759524, 79, 1681059049.8160012
SA, 3966036274, 80, 1681059049.9680302
SA, 1693201130, 81, 1681059050.1160839
SA, 3962725610, 82, 1681059050.2600768
SA, 854387300, 83, 1681059050.412315
SA, 845474540, 84, 1681059050.5690484
SA, 3932435180, 85, 1681059050.7322733
SA, 845474540, 86, 1681059050.883814
SA, 3932435180, 87, 1681059051.0483031
SA, 3945948396, 88, 1681059051.204232
SA, 854387556, 89, 1681059051.3560317
SA, 3945983076, 90, 1681059051.5089161
SA, 1693248306, 91, 1681059051.6679528
SA, 3945983076, 92, 1681059051.828037
SA, 3962760036, 93, 1681059051.980644
SA, 3966037042, 94, 1681059052.1397898
SA, 3962760292, 95, 1681059052.2921388
SA, 3962760292, 96, 1681059052.443989
SA, 845475052, 97, 1681059052.5957143
SA, 3974902372, 98, 1681059052.747892
SA, 845475052, 99, 1681059052.9045243
SA, 854387812, 100, 1681059053.0521495
SA, 3974967908, 1, 1681059053.2042131
SA, 1693248818, 2, 1681059053.37316
SA, 3962725613, 3, 1681059053.5317318
SA, 3962760548, 4, 1681059053.6837072
SA, 3974967908, 5, 1681059053.8364475
SA, 3966037298, 6, 1681059053.9838943
SA, 3999591474, 7, 1681059054.1359375
SA, 3962760804, 8, 1681059054.2883437
SA, 845475564, 9, 1681059054.451961
SA, 3965989614, 10, 1681059054.6039994
SA, 3965989614, 11, 1681059054.7566555
SA, 1681059564, 12, 1681059054.9159052
SA, 4025234020, 13, 1681059055.0727568
SA, 3962761060, 14, 1681059055.2324102
SA, 3966037810, 15, 1681059055.38396
SA, 3966037810, 16, 1681059055.543937
SA, 3966037810, 17, 1681059055.6924133
SA, 3962725615, 18, 1681059055.844349
SA, 1693445170, 19, 1681059056.004611
SA, 4033145906, 20, 1681059056.15582
SA, 854649956, 21, 1681059056.3118138
SA, 845476076, 22, 1681059056.4637783
SA, 4042011236, 23, 1681059056.6240845
SA, 1681059056, 24, 1681059056.7837932
SA, 4033098476, 25, 1681059056.935788
SA, 4049875692, 26, 1681059057.092423
SA, 1693576242, 27, 1681059057.2438626
SA, 854389092, 28, 1681059057.4118426
SA, 1693249842, 29, 1681059057.5601618
SA, 1693201137, 30, 1681059057.72409
